HOUSEHOLD_ID,DRIVER_ID,POLICY_ID,CLAIM_ID,INCIDENT_CAUSE,DESCRIPTION,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV
EH29521,XDY4674,US7684354,A-2017-QK123,2,,3,234647.4,2017-02-20 00:00:00.0,2017-03-04 00:00:00.0,1,1,41.81635848,-87.62154816,1190.00,0
MI69314,OTR6593,VP9755242,A-2017-UK576,1,,3,216841.1,2017-02-23 00:00:00.0,2017-02-24 00:00:00.0,1,1,41.70944207,-87.72088659,3208.50,0
ME64244,ZDX5513,TU9017020,A-2017-XY722,3,,3,259674.7,2017-02-25 00:00:00.0,2017-03-03 00:00:00.0,0,1,41.77113275,-87.57169163,2560.00,0
GE41016,JQW6902,ZT8009136,A-2017-WI822,4,,3,185866.0,2017-02-26 00:00:00.0,2017-03-05 00:00:00.0,0,1,42.01031381,-87.6626076,1380.00,0
II25056,CVI8835,OJ5466096,A-2017-YI133,4,,3,109080.0,2017-03-01 00:00:00.0,2017-03-13 00:00:00.0,0,3,41.88078079,-87.73023238,1230.50,0
HF73106,NNC1791,NP5609300,A-2016-ES103,3,,3,249268.7,2016-01-05 00:00:00.0,2016-01-13 00:00:00.0,0,3,41.96782599,-87.76762486,1070.00,0
EK42420,NVT2530,XO1491994,A-2016-PC570,2,,3,140572.3,2016-01-05 00:00:00.0,2016-01-10 00:00:00.0,0,1,41.96464477,-87.72807656,2990.00,0
AL73099,PLH5992,PZ4952868,A-2016-RO690,5,,3,110984.0,2016-01-12 00:00:00.0,2016-01-14 00:00:00.0,1,2,41.97959355,-87.75858927,1759.50,0
MB74980,HEX2175,NR5020416,A-2016-IT228,1,,3,58439.6,2016-01-12 00:00:00.0,2016-01-20 00:00:00.0,0,1,41.81674857,-87.61646799,1550.00,0
MJ25313,ZGX5492,PR0234045,A-2016-TR709,5,,3,320102.8,2016-01-12 00:00:00.0,2016-01-22 00:00:00.0,0,1,41.96502964,-87.71096162,2714.00,0
CL05212,VXB6725,TW6325238,A-2016-HM350,1,,3,171228.5,2016-01-14 00:00:00.0,2016-01-26 00:00:00.0,0,1,41.78424899,-87.66205484,1265.00,0
FJ98021,FEV4136,ON0061299,A-2016-IG504,3,,3,163769.5,2016-01-14 00:00:00.0,2016-01-24 00:00:00.0,0,1,41.85970513,-87.65324505,2640.00,0
LB03531,ZXK8458,NS4742983,A-2016-RC449,3,,3,126175.9,2016-01-15 00:00:00.0,2016-01-23 00:00:00.0,0,1,41.75895236,-87.57750653,1200.00,0
JH58399,ZHU5731,XN8715168,A-2016-IG785,2,,3,49801.1,2016-01-16 00:00:00.0,2016-01-22 00:00:00.0,0,1,41.84375106,-87.70487246,2870.00,0
JG44159,LPC5979,RX8026627,A-2016-ZX849,1,,3,110573.1,2016-01-25 00:00:00.0,2016-02-02 00:00:00.0,0,3,41.73568058,-87.66442317,2470.00,0
BB87228,KVU4558,OS2207658,A-2016-GS830,2,,3,152413.6,2016-02-02 00:00:00.0,2016-02-14 00:00:00.0,0,1,41.89013841,-87.64746053,1320.00,0
FI98273,TEF6091,VV4011716,A-2016-IO925,3,,3,122795.6,2016-02-02 00:00:00.0,2016-02-11 00:00:00.0,0,1,41.99488207,-87.71491593,1700.00,0
MI44206,MPL7892,WY1935907,A-2016-YN675,4,,3,106086.3,2016-02-04 00:00:00.0,2016-02-17 00:00:00.0,1,1,41.9276439,-87.77249351,1265.00,0
FG85355,SAC4402,YN8255193,A-2016-DP856,5,,3,120261.6,2016-02-06 00:00:00.0,2016-02-10 00:00:00.0,0,1,41.97609858,-87.71097626,1253.50,0
KG46105,IYO5987,ZT3653138,A-2016-WW107,3,,3,262087.5,2016-02-07 00:00:00.0,2016-02-20 00:00:00.0,1,1,41.69954742,-87.64275192,2480.00,0
LH37103,IGK7106,SN2959521,A-2016-MH980,5,,3,43102.3,2016-02-10 00:00:00.0,2016-02-23 00:00:00.0,0,4,41.8377949,-87.68514875,3105.00,0
FK38946,EXY5445,XY0135091,A-2016-WQ734,3,,3,96194.6,2016-02-12 00:00:00.0,2016-02-18 00:00:00.0,0,3,41.97975779,-87.66685579,1368.50,0
GL65161,TFS9274,XX3047541,A-2016-EG779,1,,3,74995.3,2016-02-14 00:00:00.0,2016-02-26 00:00:00.0,0,3,41.75826841,-87.61845149,2460.00,0
HI42166,QKG1873,QP9311362,A-2016-GL386,2,,3,72761.8,2016-02-14 00:00:00.0,2016-02-22 00:00:00.0,1,1,41.99468602,-87.71459314,1140.00,0
EG44060,OMD6077,NR5264702,A-2016-BS440,2,,3,281628.9,2016-02-16 00:00:00.0,2016-02-18 00:00:00.0,1,1,41.7713311,-87.61171136,2840.00,0
